VCD info: dumpfile misr_test.vcd opened for output.
Initial signature:         255
MISR output: 255
MISR output: 227
MISR output: 219
MISR output: 171
MISR output:  75
MISR output: 150
MISR output:  49
MISR output:  98
MISR output: 196
MISR output: 149
MISR output:  55
MISR output: 110
MISR output: 220
MISR output: 165
MISR output:  87
MISR output: 174
MISR output:  65
MISR output: 130
MISR output:  25
MISR output:  50
MISR output: 100
MISR output: 200
MISR output: 141
MISR output:   7
MISR output:  14
MISR output:  28
MISR output:  56
MISR output: 112
MISR output: 224
MISR output: 221
MISR output: 167
MISR output:  83
MISR output: 166
MISR output:  81
MISR output: 162
MISR output:  89
MISR output: 178
MISR output: 121
MISR output: 242
MISR output: 249
MISR output: 239
MISR output: 195
MISR output: 155
MISR output:  43
MISR output:  86
MISR output: 172
MISR output:  69
MISR output: 138
MISR output:   9
MISR output:  18
MISR output:  36
MISR output:  72
MISR output: 144
MISR output:  61
MISR output: 122
MISR output: 244
MISR output: 245
MISR output: 247
MISR output: 243
MISR output: 251
MISR output: 235
MISR output: 203
MISR output: 139
MISR output:  11
MISR output:  22
MISR output:  44
MISR output:  88
MISR output: 176
MISR output: 125
MISR output: 250
MISR output: 233
MISR output: 207
MISR output: 131
MISR output:  27
MISR output:  54
MISR output: 108
MISR output: 216
MISR output: 173
MISR output:  71
MISR output: 142
MISR output:   1
MISR output:   2
MISR output:   4
MISR output:   8
MISR output:  16
MISR output:  32
MISR output:  64
MISR output: 128
MISR output:  29
MISR output:  58
MISR output: 116
MISR output: 232
MISR output: 205
MISR output: 135
MISR output:  19
MISR output:  38
MISR output:  76
MISR output: 152
MISR output:  45
MISR output:  90
MISR output: 180
MISR output: 117
MISR output: 234
MISR output: 201
MISR output: 143
MISR output:   3
MISR output:   6
MISR output:  12
MISR output:  24
MISR output:  48
MISR output:  96
MISR output: 192
MISR output: 157
MISR output:  39
MISR output:  78
MISR output: 156
MISR output:  37
MISR output:  74
MISR output: 148
MISR output:  53
MISR output: 106
MISR output: 212
MISR output: 181
MISR output: 119
MISR output: 238
MISR output: 193
MISR output: 159
MISR output:  35
MISR output:  70
MISR output: 140
MISR output:   5
MISR output:  10
MISR output:  20
MISR output:  40
MISR output:  80
MISR output: 160
MISR output:  93
MISR output: 186
MISR output: 105
MISR output: 210
MISR output: 185
MISR output: 111
MISR output: 222
MISR output: 161
MISR output:  95
MISR output: 190
MISR output:  97
MISR output: 194
MISR output: 153
MISR output:  47
MISR output:  94
MISR output: 188
MISR output: 101
MISR output: 202
MISR output: 137
MISR output:  15
MISR output:  30
MISR output:  60
MISR output: 120
MISR output: 240
MISR output: 253
MISR output: 231
MISR output: 211
MISR output: 187
MISR output: 107
MISR output: 214
MISR output: 177
MISR output: 127
MISR output: 254
MISR output: 225
MISR output: 223
MISR output: 163
MISR output:  91
MISR output: 182
MISR output: 113
MISR output: 226
MISR output: 217
MISR output: 175
MISR output:  67
MISR output: 134
MISR output:  17
MISR output:  34
MISR output:  68
MISR output: 136
MISR output:  13
MISR output:  26
MISR output:  52
MISR output: 104
MISR output: 208
MISR output: 189
MISR output: 103
MISR output: 206
MISR output: 129
MISR output:  31
MISR output:  62
MISR output: 124
MISR output: 248
MISR output: 237
MISR output: 199
MISR output: 147
MISR output:  59
MISR output: 118
MISR output: 236
MISR output: 197
MISR output: 151
MISR output:  51
MISR output: 102
MISR output: 204
MISR output: 133
MISR output:  23
MISR output:  46
MISR output:  92
MISR output: 184
MISR output: 109
MISR output: 218
MISR output: 169
MISR output:  79
MISR output: 158
MISR output:  33
MISR output:  66
MISR output: 132
MISR output:  21
MISR output:  42
MISR output:  84
MISR output: 168
MISR output:  77
MISR output: 154
MISR output:  41
MISR output:  82
MISR output: 164
MISR output:  85
MISR output: 170
MISR output:  73
MISR output: 146
MISR output:  57
MISR output: 114
MISR output: 228
MISR output: 213
MISR output: 183
MISR output: 115
MISR output: 230
MISR output: 209
MISR output: 191
MISR output:  99
MISR output: 198
MISR output: 145
MISR output:  63
MISR output: 126
MISR output: 252
MISR output: 229
MISR output: 215
MISR output: 179
MISR output: 123
MISR output: 246
MISR output: 241
End in         255 iterations
Should be 2^8-1 =         255
